,phase
572,5.0
573,5.0
574,5.0
575,5.0
576,5.0
577,5.0
578,5.0
579,5.0
580,5.0
581,5.0
582,5.0
583,5.0
584,5.0
585,5.0
586,5.0
587,5.0
588,5.0
589,5.0
590,5.0
591,5.0
592,5.0
593,5.0
594,5.0
595,5.0
596,5.0
597,5.0
598,5.0
599,5.0
600,5.0
601,5.0
602,5.0
603,5.0
604,5.0
605,5.0
606,5.0
607,5.0
608,5.0
609,5.0
610,5.0
611,5.0
612,5.0
613,5.0
614,5.0
615,5.0
616,5.0
617,5.0
618,5.0
619,5.0
620,5.0
621,5.0
622,5.0
623,5.0
624,5.0
625,5.0
626,5.0
627,5.0
628,5.0
629,5.0
630,5.0
631,5.0
632,5.0
633,5.0
634,5.0
635,5.0
636,5.0
637,5.0
638,5.0
639,5.0
640,5.0
641,5.0
642,5.0
643,5.0
644,5.0
645,5.0
646,5.0
647,5.0
648,5.0
649,5.0
650,5.0
651,5.0
652,5.0
653,5.0
654,5.0
655,5.0
656,5.0
657,5.0
658,5.0
659,5.0
660,5.0
661,5.0
662,5.0
663,5.0
664,5.0
665,5.0
666,5.0
667,5.0
668,5.0
669,5.0
670,5.0
671,5.0
672,5.0
673,5.0
674,5.0
675,5.0
676,5.0
677,5.0
678,5.0
679,5.0
680,5.0
681,5.0
682,5.0
683,5.0
684,5.0
685,5.0
686,5.0
687,5.0
688,5.0
689,5.0
690,5.0
691,5.0
692,5.0
693,5.0
694,5.0
695,5.0
696,5.0
697,5.0
698,5.0
699,5.0
700,5.0
701,5.0
702,5.0
703,5.0
704,5.0
705,5.0
706,5.0
707,5.0
708,5.0
709,5.0
710,5.0
711,5.0
712,5.0
713,5.0
714,5.0
715,5.0
716,5.0
717,5.0
718,5.0
719,5.0
720,5.0
721,5.0
722,5.0
723,5.0
724,5.0
725,5.0
726,5.0
727,5.0
728,5.0
729,5.0
730,5.0
731,5.0
732,5.0
733,5.0
734,5.0
735,5.0
736,5.0
737,5.0
738,5.0
739,5.0
740,5.0
741,5.0
742,5.0
743,5.0
744,5.0
745,5.0
746,5.0
747,5.0
748,5.0
749,5.0
750,5.0
751,5.0
752,5.0
753,5.0
754,5.0
755,5.0
756,5.0
757,5.0
758,5.0
759,5.0
760,5.0
761,5.0
762,5.0
763,5.0
764,5.0
765,5.0
766,5.0
767,5.0
768,5.0
769,5.0
770,5.0
771,5.0
772,5.0
773,5.0
774,5.0
775,5.0
776,5.0
777,5.0
778,5.0
779,5.0
780,5.0
781,5.0
782,5.0
783,5.0
784,5.0
785,5.0
786,5.0
787,5.0
788,5.0
789,5.0
790,5.0
791,5.0
792,5.0
793,5.0
794,5.0
795,5.0
796,5.0
797,5.0
798,5.0
799,5.0
800,5.0
801,5.0
802,5.0
803,5.0
804,5.0
805,5.0
806,5.0
807,5.0
808,5.0
809,5.0
810,5.0
811,5.0
812,5.0
813,5.0
814,5.0
815,5.0
816,5.0
817,5.0
818,5.0
819,5.0
820,5.0
821,5.0
822,5.0
823,5.0
824,5.0
825,5.0
826,5.0
827,5.0
828,5.0
829,5.0
830,5.0
831,5.0
832,5.0
833,5.0
834,5.0
835,5.0
836,5.0
837,5.0
838,5.0
839,5.0
840,5.0
841,5.0
842,5.0
843,5.0
844,5.0
845,5.0
846,5.0
847,5.0
848,5.0
849,5.0
850,5.0
851,5.0
852,5.0
853,5.0
854,5.0
855,5.0
856,5.0
857,5.0
858,5.0
859,5.0
860,5.0
861,5.0
862,5.0
863,5.0
864,5.0
865,5.0
866,5.0
867,5.0
868,5.0
869,5.0
870,5.0
871,5.0
872,5.0
873,5.0
874,5.0
875,5.0
876,5.0
877,5.0
878,5.0
879,5.0
880,5.0
881,5.0
882,5.0
883,5.0
884,5.0
885,5.0
886,5.0
887,5.0
888,5.0
889,5.0
890,5.0
891,5.0
892,5.0
893,5.0
894,5.0
895,5.0
896,5.0
897,5.0
898,5.0
899,5.0
900,5.0
901,5.0
902,5.0
903,5.0
904,5.0
905,5.0
906,5.0
907,5.0
908,5.0
909,5.0
910,5.0
911,5.0
912,5.0
913,5.0
914,5.0
915,5.0
916,5.0
917,5.0
918,5.0
919,5.0
920,5.0
921,5.0
922,5.0
923,5.0
924,5.0
925,5.0
926,5.0
927,5.0
928,5.0
929,5.0
930,5.0
931,5.0
932,5.0
933,5.0
934,5.0
935,5.0
936,5.0
937,5.0
938,5.0
939,5.0
940,5.0
941,5.0
942,5.0
943,5.0
944,5.0
945,5.0
946,5.0
947,5.0
948,5.0
949,5.0
950,5.0
951,5.0
952,5.0
953,5.0
954,5.0
955,5.0
956,5.0
957,5.0
958,5.0
959,5.0
960,5.0
961,5.0
962,101.0
963,101.0
964,101.0
965,101.0
966,101.0
967,101.0
968,101.0
969,101.0
970,101.0
971,101.0
972,101.0
973,101.0
974,101.0
975,101.0
976,101.0
977,101.0
978,101.0
979,101.0
980,101.0
981,101.0
982,101.0
983,101.0
984,101.0
985,101.0
986,101.0
987,101.0
988,101.0
989,101.0
990,101.0
991,101.0
992,101.0
993,101.0
994,101.0
995,101.0
996,101.0
997,101.0
998,101.0
999,101.0
1000,101.0
1001,101.0
1002,101.0
1003,101.0
1004,101.0
1005,101.0
1006,101.0
1007,101.0
1008,101.0
1009,101.0
1010,101.0
1011,101.0
1012,101.0
1013,101.0
1014,101.0
1015,101.0
1016,101.0
1017,101.0
1018,101.0
1019,101.0
1020,101.0
1021,101.0
1022,101.0
1023,101.0
1024,101.0
1025,101.0
1026,101.0
1027,101.0
1028,101.0
1029,101.0
1030,101.0
1031,101.0
1032,101.0
1033,101.0
1034,101.0
1035,101.0
1036,101.0
1037,101.0
1038,101.0
1039,101.0
1040,101.0
1041,101.0
1042,101.0
1043,101.0
1044,101.0
1045,101.0
1046,101.0
1047,101.0
1048,101.0
1049,101.0
1050,101.0
1051,101.0
1052,101.0
1053,101.0
1054,101.0
1055,101.0
1056,101.0
1057,101.0
1058,101.0
1059,101.0
1060,101.0
1061,101.0
1062,101.0
1063,101.0
1064,101.0
1065,101.0
1066,101.0
1067,101.0
1068,101.0
1069,101.0
1070,101.0
1071,101.0
1072,101.0
1073,101.0
1074,101.0
1075,101.0
1076,101.0
1077,101.0
1078,101.0
1079,101.0
1080,101.0
1081,101.0
1082,101.0
1083,101.0
1084,101.0
1085,101.0
1086,101.0
1087,101.0
1088,101.0
1089,101.0
1090,101.0
1091,101.0
1092,101.0
1093,101.0
1094,101.0
1095,101.0
1096,101.0
1097,101.0
1098,101.0
1099,101.0
1100,101.0
1101,101.0
1102,101.0
1103,101.0
1104,101.0
1105,101.0
1106,101.0
1107,101.0
1108,101.0
1109,101.0
1110,101.0
1111,101.0
1112,101.0
1113,101.0
1114,101.0
1115,101.0
1116,101.0
1117,101.0
1118,101.0
1119,101.0
1120,101.0
1121,101.0
1122,101.0
1123,101.0
1124,101.0
1125,101.0
1126,101.0
1127,101.0
1128,101.0
1129,101.0
1130,101.0
1131,101.0
1132,101.0
1133,101.0
1134,101.0
1135,101.0
1136,101.0
1137,101.0
1138,101.0
1139,101.0
1140,101.0
1141,101.0
1142,101.0
1143,101.0
1144,101.0
1145,101.0
1146,101.0
1147,101.0
1148,101.0
1149,101.0
1150,101.0
1151,101.0
1152,101.0
1153,101.0
1154,101.0
1155,101.0
1156,101.0
1157,101.0
1158,101.0
1159,101.0
1160,101.0
1161,101.0
1162,101.0
1163,101.0
1164,101.0
1165,101.0
1166,101.0
1167,101.0
1168,101.0
1169,101.0
1170,101.0
1171,101.0
1172,101.0
1173,101.0
1174,101.0
1175,101.0
1176,101.0
1177,101.0
1178,101.0
1179,101.0
1180,101.0
1181,101.0
1182,101.0
1183,101.0
1184,101.0
1185,101.0
1186,101.0
1187,101.0
1188,101.0
1189,101.0
1190,101.0
1191,101.0
1192,101.0
1193,101.0
1194,101.0
1195,101.0
1196,101.0
1197,101.0
1198,101.0
1199,101.0
1200,101.0
1201,101.0
1202,101.0
1203,101.0
1204,101.0
1205,101.0
1206,101.0
1207,101.0
1208,101.0
1209,101.0
1210,101.0
1211,101.0
1212,101.0
1213,101.0
1214,101.0
1215,101.0
1216,101.0
1217,101.0
1218,101.0
1219,101.0
1220,101.0
1221,101.0
1222,101.0
1223,101.0
1224,101.0
1225,101.0
1226,101.0
1227,101.0
1228,101.0
1229,101.0
1230,101.0
1231,101.0
1232,101.0
1233,101.0
1234,101.0
1235,101.0
1236,101.0
1237,101.0
1238,101.0
1239,101.0
1240,101.0
1241,101.0
1242,101.0
1243,101.0
1244,101.0
1245,101.0
1246,101.0
1247,101.0
1248,101.0
1249,101.0
1250,101.0
1251,101.0
1252,101.0
1253,101.0
1254,101.0
1255,101.0
1256,101.0
